month,day_of_week,hour_of_day,mean_rides
1,0,0,8.125
1,0,1,31.75
1,0,2,49.75
1,0,3,70.125
1,0,4,64.75
1,0,5,54.25
1,0,6,54.625
1,0,7,60.0
1,0,8,59.5
1,0,9,66.375
1,0,10,57.875
1,0,11,60.375
1,0,12,68.5
1,0,13,80.75
1,0,14,74.375
1,0,15,65.5
1,0,16,56.875
1,0,17,50.375
1,0,18,39.875
1,0,19,26.5
1,0,20,18.5
1,0,21,10.25
1,0,22,7.25
1,0,23,5.625
1,1,0,8.875
1,1,1,31.25
1,1,2,64.125
1,1,3,84.5
1,1,4,78.0
1,1,5,61.375
1,1,6,59.0
1,1,7,62.875
1,1,8,61.875
1,1,9,75.625
1,1,10,68.375
1,1,11,61.375
1,1,12,73.0
1,1,13,94.375
1,1,14,96.125
1,1,15,82.875
1,1,16,76.5
1,1,17,66.5
1,1,18,51.875
1,1,19,31.5
1,1,20,17.5
1,1,21,13.5
1,1,22,7.75
1,1,23,10.25
1,2,0,9.875
1,2,1,30.5
1,2,2,64.625
1,2,3,88.625
1,2,4,76.0
1,2,5,63.625
1,2,6,64.625
1,2,7,60.875
1,2,8,63.0
1,2,9,64.25
1,2,10,64.25
1,2,11,61.5
1,2,12,72.5
1,2,13,98.25
1,2,14,92.25
1,2,15,86.875
1,2,16,87.875
1,2,17,75.375
1,2,18,53.25
1,2,19,35.5
1,2,20,21.375
1,2,21,11.25
1,2,22,10.625
1,2,23,9.5
1,3,0,12.125
1,3,1,32.5
1,3,2,63.5
1,3,3,86.125
1,3,4,85.625
1,3,5,66.375
1,3,6,62.625
1,3,7,68.875
1,3,8,64.5
1,3,9,65.5
1,3,10,72.375
1,3,11,61.625
1,3,12,78.75
1,3,13,95.25
1,3,14,96.375
1,3,15,91.25
1,3,16,95.125
1,3,17,82.5
1,3,18,72.375
1,3,19,53.666666666666664
1,3,20,31.555555555555557
1,3,21,24.88888888888889
1,3,22,15.666666666666666
1,3,23,11.222222222222221
1,4,0,12.7
1,4,1,31.4
1,4,2,56.9
1,4,3,73.3
1,4,4,72.7
1,4,5,56.7
1,4,6,67.9
1,4,7,75.4
1,4,8,72.2
1,4,9,68.5
1,4,10,71.6
1,4,11,60.6
1,4,12,68.7
1,4,13,87.1
1,4,14,93.0
1,4,15,100.0
1,4,16,81.1
1,4,17,85.9
1,4,18,92.1
1,4,19,79.3
1,4,20,58.9
1,4,21,54.3
1,4,22,43.9
1,4,23,24.4
1,5,0,14.2
1,5,1,11.5
1,5,2,17.9
1,5,3,30.4
1,5,4,44.2
1,5,5,51.0
1,5,6,65.9
1,5,7,74.2
1,5,8,68.9
1,5,9,71.5
1,5,10,73.8
1,5,11,66.6
1,5,12,71.8
1,5,13,88.5
1,5,14,96.1
1,5,15,84.6
1,5,16,82.9
1,5,17,90.7
1,5,18,92.9
1,5,19,86.4
1,5,20,81.9
1,5,21,65.7
1,5,22,52.8
1,5,23,36.3
1,6,0,14.0
1,6,1,12.88888888888889
1,6,2,12.88888888888889
1,6,3,21.666666666666668
1,6,4,32.888888888888886
1,6,5,49.333333333333336
1,6,6,59.333333333333336
1,6,7,64.55555555555556
1,6,8,69.88888888888889
1,6,9,71.77777777777777
1,6,10,68.77777777777777
1,6,11,70.44444444444444
1,6,12,67.66666666666667
1,6,13,68.22222222222223
1,6,14,62.333333333333336
1,6,15,57.44444444444444
1,6,16,52.111111111111114
1,6,17,50.111111111111114
1,6,18,39.888888888888886
1,6,19,26.555555555555557
1,6,20,18.333333333333332
1,6,21,11.444444444444445
1,6,22,8.0
1,6,23,8.555555555555555
2,0,0,10.625
2,0,1,26.25
2,0,2,50.25
2,0,3,64.875
2,0,4,61.75
2,0,5,55.375
2,0,6,53.75
2,0,7,60.375
2,0,8,54.25
2,0,9,62.625
2,0,10,57.375
2,0,11,55.625
2,0,12,68.0
2,0,13,84.125
2,0,14,77.25
2,0,15,65.875
2,0,16,60.75
2,0,17,55.25
2,0,18,40.125
2,0,19,22.5
2,0,20,14.375
2,0,21,9.5
2,0,22,7.375
2,0,23,5.375
2,1,0,9.375
2,1,1,30.75
2,1,2,60.125
2,1,3,79.0
2,1,4,71.375
2,1,5,64.125
2,1,6,62.125
2,1,7,61.375
2,1,8,60.625
2,1,9,64.125
2,1,10,65.125
2,1,11,60.125
2,1,12,76.875
2,1,13,85.25
2,1,14,84.5
2,1,15,73.625
2,1,16,78.5
2,1,17,70.375
2,1,18,50.25
2,1,19,30.625
2,1,20,21.75
2,1,21,15.5
2,1,22,8.0
2,1,23,9.375
2,2,0,9.375
2,2,1,30.0
2,2,2,60.5
2,2,3,70.375
2,2,4,71.375
2,2,5,52.75
2,2,6,52.75
2,2,7,57.625
2,2,8,56.5
2,2,9,55.75
2,2,10,56.125
2,2,11,48.75
2,2,12,57.0
2,2,13,72.125
2,2,14,78.875
2,2,15,72.125
2,2,16,78.375
2,2,17,65.875
2,2,18,52.0
2,2,19,40.5
2,2,20,20.25
2,2,21,13.625
2,2,22,8.375
2,2,23,6.0
2,3,0,10.625
2,3,1,29.625
2,3,2,54.625
2,3,3,79.0
2,3,4,66.75
2,3,5,62.125
2,3,6,57.875
2,3,7,68.25
2,3,8,59.75
2,3,9,61.875
2,3,10,69.75
2,3,11,54.375
2,3,12,68.125
2,3,13,89.75
2,3,14,91.5
2,3,15,88.125
2,3,16,86.0
2,3,17,76.875
2,3,18,65.125
2,3,19,47.625
2,3,20,31.5
2,3,21,20.5
2,3,22,14.875
2,3,23,9.0
2,4,0,13.25
2,4,1,25.5
2,4,2,55.375
2,4,3,74.125
2,4,4,61.0
2,4,5,56.375
2,4,6,60.625
2,4,7,62.5
2,4,8,63.125
2,4,9,68.0
2,4,10,62.75
2,4,11,57.5
2,4,12,70.25
2,4,13,91.625
2,4,14,90.75
2,4,15,89.875
2,4,16,79.5
2,4,17,82.375
2,4,18,86.125
2,4,19,75.375
2,4,20,66.5
2,4,21,49.25
2,4,22,43.375
2,4,23,28.375
2,5,0,14.0
2,5,1,12.375
2,5,2,18.0
2,5,3,32.375
2,5,4,43.5
2,5,5,47.875
2,5,6,56.75
2,5,7,61.75
2,5,8,66.125
2,5,9,60.375
2,5,10,68.125
2,5,11,66.125
2,5,12,66.125
2,5,13,90.0
2,5,14,98.375
2,5,15,82.375
2,5,16,80.0
2,5,17,92.875
2,5,18,95.375
2,5,19,89.875
2,5,20,79.375
2,5,21,68.875
2,5,22,50.625
2,5,23,35.5
2,6,0,16.5
2,6,1,12.5
2,6,2,11.875
2,6,3,23.0
2,6,4,35.75
2,6,5,46.5
2,6,6,56.375
2,6,7,59.125
2,6,8,58.5
2,6,9,69.125
2,6,10,60.0
2,6,11,55.625
2,6,12,61.875
2,6,13,75.125
2,6,14,59.5
2,6,15,52.875
2,6,16,53.5
2,6,17,54.75
2,6,18,46.125
2,6,19,40.5
2,6,20,21.25
2,6,21,16.375
2,6,22,9.875
2,6,23,9.25
3,0,0,7.8
3,0,1,13.7
3,0,2,32.7
3,0,3,58.0
3,0,4,71.6
3,0,5,61.0
3,0,6,49.6
3,0,7,50.4
3,0,8,52.2
3,0,9,55.3
3,0,10,59.3
3,0,11,59.0
3,0,12,54.4
3,0,13,66.0
3,0,14,86.6
3,0,15,74.1
3,0,16,71.3
3,0,17,62.0
3,0,18,54.0
3,0,19,38.9
3,0,20,27.2
3,0,21,16.1
3,0,22,9.1
3,0,23,6.6
3,1,0,7.0
3,1,1,15.5
3,1,2,38.5
3,1,3,63.7
3,1,4,75.8
3,1,5,68.5
3,1,6,64.6
3,1,7,56.5
3,1,8,60.3
3,1,9,60.9
3,1,10,64.8
3,1,11,69.7
3,1,12,57.7
3,1,13,74.3
3,1,14,86.1
3,1,15,80.1
3,1,16,74.7
3,1,17,80.6
3,1,18,60.2
3,1,19,49.5
3,1,20,32.2
3,1,21,19.4
3,1,22,11.9
3,1,23,7.1
3,2,0,8.777777777777779
3,2,1,18.444444444444443
3,2,2,43.22222222222222
3,2,3,67.77777777777777
3,2,4,74.0
3,2,5,70.0
3,2,6,59.111111111111114
3,2,7,61.55555555555556
3,2,8,63.888888888888886
3,2,9,61.55555555555556
3,2,10,65.88888888888889
3,2,11,58.44444444444444
3,2,12,60.0
3,2,13,70.0
3,2,14,86.77777777777777
3,2,15,90.33333333333333
3,2,16,76.44444444444444
3,2,17,72.33333333333333
3,2,18,68.88888888888889
3,2,19,51.55555555555556
3,2,20,36.888888888888886
3,2,21,26.333333333333332
3,2,22,14.333333333333334
3,2,23,8.666666666666666
3,3,0,8.75
3,3,1,16.375
3,3,2,40.125
3,3,3,61.5
3,3,4,71.625
3,3,5,64.25
3,3,6,56.5
3,3,7,54.625
3,3,8,64.75
3,3,9,63.5
3,3,10,66.5
3,3,11,62.875
3,3,12,65.625
3,3,13,77.625
3,3,14,89.625
3,3,15,85.75
3,3,16,87.75
3,3,17,84.875
3,3,18,77.0
3,3,19,63.5
3,3,20,53.75
3,3,21,30.625
3,3,22,19.75
3,3,23,14.375
3,4,0,12.75
3,4,1,18.125
3,4,2,44.25
3,4,3,61.625
3,4,4,74.0
3,4,5,67.875
3,4,6,59.75
3,4,7,65.75
3,4,8,70.0
3,4,9,59.25
3,4,10,66.375
3,4,11,56.25
3,4,12,63.125
3,4,13,70.125
3,4,14,93.125
3,4,15,93.25
3,4,16,84.0
3,4,17,84.125
3,4,18,83.125
3,4,19,81.125
3,4,20,77.625
3,4,21,64.0
3,4,22,48.25
3,4,23,41.0
3,5,0,23.5
3,5,1,12.625
3,5,2,17.125
3,5,3,26.125
3,5,4,38.625
3,5,5,45.125
3,5,6,57.5
3,5,7,58.25
3,5,8,62.125
3,5,9,65.625
3,5,10,68.875
3,5,11,61.875
3,5,12,61.875
3,5,13,67.75
3,5,14,74.25
3,5,15,89.25
3,5,16,77.25
3,5,17,73.375
3,5,18,79.625
3,5,19,85.375
3,5,20,87.5
3,5,21,58.5
3,5,22,61.5
3,5,23,48.875
3,6,0,26.22222222222222
3,6,1,14.333333333333334
3,6,2,13.571428571428571
3,6,3,18.666666666666668
3,6,4,24.88888888888889
3,6,5,35.0
3,6,6,43.55555555555556
3,6,7,54.111111111111114
3,6,8,57.44444444444444
3,6,9,57.666666666666664
3,6,10,66.44444444444444
3,6,11,60.22222222222222
3,6,12,59.0
3,6,13,60.44444444444444
3,6,14,55.44444444444444
3,6,15,54.666666666666664
3,6,16,49.111111111111114
3,6,17,43.44444444444444
3,6,18,41.111111111111114
3,6,19,36.44444444444444
3,6,20,26.11111111111111
3,6,21,15.444444444444445
3,6,22,8.88888888888889
3,6,23,7.666666666666667
4,0,0,6.875
4,0,1,10.625
4,0,2,32.25
4,0,3,54.875
4,0,4,75.875
4,0,5,78.375
4,0,6,63.5
4,0,7,55.0
4,0,8,55.5
4,0,9,61.625
4,0,10,62.75
4,0,11,70.75
4,0,12,57.25
4,0,13,63.5
4,0,14,79.125
4,0,15,85.375
4,0,16,76.75
4,0,17,68.875
4,0,18,64.0
4,0,19,46.375
4,0,20,32.375
4,0,21,21.0
4,0,22,9.875
4,0,23,8.25
4,1,0,6.625
4,1,1,8.875
4,1,2,28.75
4,1,3,64.5
4,1,4,78.125
4,1,5,87.625
4,1,6,64.125
4,1,7,68.75
4,1,8,67.875
4,1,9,64.875
4,1,10,71.625
4,1,11,68.25
4,1,12,63.625
4,1,13,71.0
4,1,14,102.5
4,1,15,100.375
4,1,16,82.25
4,1,17,87.875
4,1,18,80.625
4,1,19,60.875
4,1,20,39.0
4,1,21,23.375
4,1,22,12.375
4,1,23,8.75
4,2,0,7.666666666666667
4,2,1,11.222222222222221
4,2,2,31.666666666666668
4,2,3,67.0
4,2,4,80.33333333333333
4,2,5,74.44444444444444
4,2,6,65.33333333333333
4,2,7,61.0
4,2,8,67.66666666666667
4,2,9,60.888888888888886
4,2,10,68.55555555555556
4,2,11,72.0
4,2,12,65.77777777777777
4,2,13,74.22222222222223
4,2,14,97.77777777777777
4,2,15,96.44444444444444
4,2,16,90.88888888888889
4,2,17,82.33333333333333
4,2,18,79.44444444444444
4,2,19,67.0
4,2,20,42.22222222222222
4,2,21,25.444444444444443
4,2,22,14.88888888888889
4,2,23,10.777777777777779
4,3,0,8.2
4,3,1,11.3
4,3,2,36.1
4,3,3,65.1
4,3,4,83.6
4,3,5,77.0
4,3,6,66.8
4,3,7,72.1
4,3,8,72.5
4,3,9,66.8
4,3,10,77.0
4,3,11,68.6
4,3,12,60.4
4,3,13,73.7
4,3,14,89.8
4,3,15,107.9
4,3,16,90.3
4,3,17,98.0
4,3,18,97.5
4,3,19,79.2
4,3,20,63.5
4,3,21,37.2
4,3,22,29.7
4,3,23,18.4
4,4,0,16.22222222222222
4,4,1,13.333333333333334
4,4,2,34.77777777777778
4,4,3,63.77777777777778
4,4,4,72.88888888888889
4,4,5,77.0
4,4,6,68.88888888888889
4,4,7,70.88888888888889
4,4,8,65.77777777777777
4,4,9,66.77777777777777
4,4,10,81.66666666666667
4,4,11,69.11111111111111
4,4,12,63.111111111111114
4,4,13,78.44444444444444
4,4,14,97.22222222222223
4,4,15,97.33333333333333
4,4,16,96.33333333333333
4,4,17,89.44444444444444
4,4,18,92.0
4,4,19,92.77777777777777
4,4,20,84.22222222222223
4,4,21,76.44444444444444
4,4,22,59.44444444444444
4,4,23,44.44444444444444
4,5,0,32.375
4,5,1,14.25
4,5,2,13.875
4,5,3,21.125
4,5,4,32.875
4,5,5,44.25
4,5,6,60.75
4,5,7,66.0
4,5,8,78.0
4,5,9,79.625
4,5,10,67.0
4,5,11,76.125
4,5,12,63.375
4,5,13,64.0
4,5,14,86.5
4,5,15,93.5
4,5,16,85.125
4,5,17,75.875
4,5,18,88.125
4,5,19,89.25
4,5,20,90.0
4,5,21,79.125
4,5,22,64.5
4,5,23,50.0
4,6,0,33.875
4,6,1,14.875
4,6,2,12.875
4,6,3,19.625
4,6,4,25.5
4,6,5,38.875
4,6,6,49.875
4,6,7,67.0
4,6,8,64.625
4,6,9,64.625
4,6,10,66.25
4,6,11,58.0
4,6,12,62.125
4,6,13,64.375
4,6,14,63.0
4,6,15,64.125
4,6,16,60.875
4,6,17,52.875
4,6,18,50.625
4,6,19,39.875
4,6,20,24.25
4,6,21,17.375
4,6,22,10.75
4,6,23,7.25
5,0,0,8.444444444444445
5,0,1,9.666666666666666
5,0,2,29.88888888888889
5,0,3,56.888888888888886
5,0,4,65.88888888888889
5,0,5,59.888888888888886
5,0,6,64.55555555555556
5,0,7,57.22222222222222
5,0,8,62.55555555555556
5,0,9,64.44444444444444
5,0,10,71.77777777777777
5,0,11,64.44444444444444
5,0,12,60.44444444444444
5,0,13,72.33333333333333
5,0,14,79.44444444444444
5,0,15,76.33333333333333
5,0,16,72.22222222222223
5,0,17,67.66666666666667
5,0,18,67.88888888888889
5,0,19,49.77777777777778
5,0,20,34.0
5,0,21,19.11111111111111
5,0,22,11.555555555555555
5,0,23,9.11111111111111
